,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46
ATF2,3.479394,1.0960766,-2.0375001,-1.6065139,-1.5916054,-1.1868184,-0.76117474,-0.709504,0.813784,0.8471671,-2.058915,-1.591167,-1.6085867,-1.5493894,-1.9949914,-1.853672,1.0679331,-0.043250192,-0.31348455,-0.23079923,-0.068360254,0.25034362,2.5695488,3.585398
ATF3,3.211636,2.1171634,1.3125975,-0.50544566,0.073568135,0.24908926,-0.32457072,-0.14945371,0.031382132,0.33028725,-1.3689307,0.20569564,-1.1384133,-1.6255903,0.662054,-0.14851001,-0.7485714,-2.1123633,-1.5212502,-0.76409703,-1.858303,-1.0581946,-0.7385389,0.8755893
ATF4,4.3960156,2.2592664,-2.3462267,-2.6820428,-1.5006654,-0.24933723,0.39233345,0.6489333,-0.5592243,-0.6724973,0.97654253,0.070644975,-0.92554975,-3.0806494,-1.6376114,-2.0295672,-2.498122,-2.4882612,-0.048463497,-0.63092417,-0.73632884,-0.53499234,3.8823144,7.934742
ATF5,2.981512,0.9983326,-0.05394635,0.6284324,-0.39978552,-0.3582272,-0.4791177,0.032607693,1.4077597,1.4130759,-0.34641668,-1.0964172,-0.29118457,-0.5855951,-1.4489907,-1.4890245,0.9941886,-1.5518811,-1.862754,-2.256575,-2.04704,-2.0979111,-1.0870355,0.5597489
ATF6,3.9551506,0.5274777,-3.337362,0.043146595,-0.15630901,0.13799731,0.6595503,0.5176458,0.9163316,0.76485884,-1.3583694,-0.21581765,-2.791375,-2.6322691,-1.9071052,-1.569089,1.7160444,0.8001317,1.0464683,0.7528863,-1.3737788,-1.9629651,-0.13336806,0.42970687
ATF6B,3.0996118,1.8578104,-1.3512994,-0.67176956,0.48603213,1.6755089,2.5735495,1.5460151,-0.5292612,-0.88785505,-0.45695242,-1.3232181,-1.3600596,-0.61206967,-1.6784959,-0.681589,0.89502674,2.111604,1.7549803,0.8013125,-0.91602474,-1.5182215,-0.91237265,-1.6885675
ATF7,1.6589547,0.16837285,0.18322352,-0.14418906,-1.1899109,0.28166962,1.0514799,2.531161,0.45162493,0.11606002,1.2713298,-0.7277575,0.28584158,-2.242369,-1.5339855,-0.30626902,-1.1782554,-1.9322633,-0.036369883,-1.1897012,-0.9713103,0.34276,-0.31077588,1.2478348
ATOH1,-0.6802984,-0.4143117,-1.0914378,-0.8979904,-0.25067413,0.06547589,-0.03345127,-0.4156021,-0.026507063,-0.08456391,1.2211758,-1.4039966,0.86079293,0.86460483,-1.4319676,-0.8857181,-0.30059594,1.1534194,1.8336077,1.6781844,0.874849,1.098532,0.6751283,0.8002793
ATOH7,1.3425053,-0.4291572,-0.27707747,-0.08642158,-0.17194006,-0.02722844,-0.4964135,0.712907,-0.6593276,-0.71853364,0.42051518,-1.8011072,-0.27691132,-0.6622468,-1.2074561,-0.6580414,0.010485958,-0.18477245,0.024886567,0.5169963,-0.040755577,0.123097375,2.357555,3.2511346
ATRX,2.283855,0.40368733,0.2835797,-2.1417866,0.030869393,-0.4694631,-0.6453279,-1.1468507,-0.049498755,0.60505867,-0.8415035,0.18877646,0.98731023,-0.30023342,1.1782663,0.2530992,-2.771963,-1.6608388,1.1385405,0.1810484,1.0556977,0.7641528,0.57795835,0.22642532
